Country,Value
"jamaica","5.0"
"indonesia","-2.0"
"mexico","1.30769230769"
"brazil","-1.0"
"united states","2.421875"
"malaysia","-1.109375"
"austria","-4.0"
"colombia","-1.66666666667"
"new zealand","-1.0"
"taiwan","-2.40909090909"
"canada","1.0625"
"italy","-1.0"
"south africa","2.775"
"united kingdom","-1.33333333333"
"peru","-1.0"
"puerto rico","3.33333333333"
"norway","-2.0"
"ecuador","3.0"
"ghana","-124.0"
"turkey","-1.0"
"australia","-1.5625"
"united arab emirates","-1.0"
"zambia","-2.0"
"ivory coast (cote d ivoire)","-2.0"
"guatemala","1.0"
"germany","1.55555555556"
"armenia","-1.0"
"thailand","-1.0"
"spain","-4.0"
"philippines","2.57142857143"
"finland","-1.0"
"switzerland","-1.0"
"hong kong","-2.0"
"bulgaria","-1.0"
